Title,Link
ATL: A layer to run Android apps on Linux,https://gitlab.com/android_translation_layer/android_translation_layer/-/blob/master/README.md
NotebookLlama: An open source version of NotebookLM,https://github.com/meta-llama/llama-recipes/tree/main/recipes/quickstart/NotebookLlama
Hoard of coins from Norman Conquest is Britain's most valuable treasure find,https://www.cnn.com/2024/10/22/science/norman-coins-most-valuable-find-britain-intl-scli/index.html
"For the strongest disc golf throws, it's all in the thumbs",https://arstechnica.com/science/2024/10/how-physics-can-improve-your-disc-golf-game/
"NewPipe on Linux, Using Android_translation_layer",https://flathub.org/apps/net.newpipe.NewPipe
Ask HN: What Are You Working On? (October 2024),item?id=41966114
Room temp chirality switching and detection in a helimagnetic MnAu2 thin film,https://www.nature.com/articles/s41467-024-46326-4
Japan's Jimi 'Mundane' Halloween Costumes of 2024,https://www.spoon-tamago.com/jimi-mundane-halloween-2024/
A Chopin waltz unearthed after nearly 200 years,https://www.nytimes.com/2024/10/27/arts/music/chopin-waltz-discovery.html
Becoming physically immune to brute-force attacks (2021),https://seirdy.one/posts/2021/01/12/password-strength/
You-get: Dumb downloader that scrapes the web,https://github.com/soimort/you-get
RP FLIP escapes wrecker's claws,https://gcaptain.com/saving-rv-flip-from-the-wreckers-clawsand-its-story-is-mind-blowing/
Bulma CSS Framework,https://bulma.io/
TLS Callbacks (2012),https://legend.octopuslabs.io/archives/2418/2418.htm
Character amnesia in China,https://globalchinapulse.net/character-amnesia-in-china/
Pollen: A publishing system written in Racket,https://docs.racket-lang.org/pollen/
Crossing the USA by Train,https://blinry.org/coast-to-coast/
Platform Strategy and Its Discontents,https://infrequently.org/2024/10/platforms-are-competitions/
Serious fun,https://www.scattered-thoughts.net/writing/serious-fun/
Axiomatics: Mathematical thought and high modernism,https://old.maa.org/press/maa-reviews/axiomatics-mathematical-thought-and-high-modernism
Debugging my wife's alarm clock,https://ntietz.com/blog/debugging-my-wifes-alarm-clock/
'Visual clutter' alters information flow in the brain,https://news.yale.edu/2024/10/22/visual-clutter-alters-information-flow-brain
SDL-based Lua programming environment for kids similar to Codea,https://github.com/antirez/load81
Building a simple oscillator based Ising machine for research and education,https://arxiv.org/abs/2410.00523
Cheap Light Transformed Civilization,https://bigthink.com/the-past/genius-and-blood-how-cheap-light-transformed-civilization/
Hyperbound (YC S23) is hiring a 4th founding full-stack engineer,https://www.ycombinator.com/companies/hyperbound/jobs/8itS1HR-founding-full-stack-engineer-4th-engineer
Using less memory to look up IP addresses in Mess With DNS,https://jvns.ca/blog/2024/10/27/asn-ip-address-memory/
Using SQLite as storage for web server static content,https://clace.io/blog/sqlite/
Long-term tracking of social structure in groups of rats,https://www.nature.com/articles/s41598-024-72437-5
Ibis: Federated Wikipedia alternative,"https://ibis.wiki/article/Announcing_Ibis,_the_federated_Wikipedia_Alternative"
